TransactionID,AccountNumber,TransactionDate,TransactionType,Amount,Description
916952,015-840369,2025-03-25,Deposit,3471.76,POS Purchase - Supermarket
906243,016-888836,01/08/2025,Deposit,41676.82,POS Purchase - Retail Store
914640,011-870404,07-07-2025,Withdrawal,5213 EGP,ATM Withdrawal - Branch Terminal
910573,016-119047,29-05-2025,Withdrawal,2006.41,ATM Withdrawal - Branch Terminal
910032,016-938247,2025-06-13,Deposit,55718.20,Transfer to Account
908637,004-992547,11/05/2025,Deposit,24444 EGP,Transfer - Salary Credit
915622,013-786388,02-08-2025,Deposit,46171 EGP,Transfer to Account
905449,005-859133,06/13/2025,Deposit,"EGP 21,198.68",Transfer to Account
908245,015-180642,19/08/2025,Deposit,46303 EGP,POS Purchase - Supermarket
912200,014-626975,06/26/2025,Withdrawal,"43,468.41",ATM Cash Withdrawal
910956,014-731713,06-08-2025,Withdrawal,10356 EGP,ATM Deposit - Cash
907527,010-961042,2025/10/24,Withdrawal,"23,414.43",ATM Deposit - Cash
916374,005-909774,08/24/2025,Deposit,"EGP 13,117.00",POS Purchase - Retail Store
903989,013-124367,2025/02/24,Withdrawal,10990.57,POS Purchase - Retail Store
913421,002-931251,09/04/2025,Withdrawal,19701.75,Transfer to Savings
905847,014-252022,2025-08-14,Deposit,59859 EGP,ATM Withdrawal - Branch Terminal
905538,001-609770,2025-08-04,Deposit,"16,409.23",Transfer to Savings
907851,005-879909,17/03/2025,Withdrawal,26760.03,ATM Balance Transfer
912125,012-748401,06/23/2025,Deposit,"EGP 50,878.86",Transfer - Salary Credit
909853,010-334114,30/07/2025,Deposit,9155 EGP,Transfer to Savings
917166,006-373961,11/10/2025,Deposit,36400.57,ATM Balance Transfer
903412,010-844847,2025/08/26,Withdrawal,"18,051.28",Incoming Transfer
900485,003-514127,2025-07-01,Deposit,"12,433.08",ATM Balance Transfer
902526,013-367029,2025/06/04,Deposit,"40,165.42",
904133,015-444513,2025/06/14,Deposit,59109.68,Incoming Transfer
917618,004-133644,07-06-2025,Withdrawal,33553 EGP,ATM Cash Withdrawal
907387,003-164660,30-07-2025,Deposit,"14,465.53",Transfer - Salary Credit
906146,002-659677,2025-10-05,Deposit,"47,862.71",POS Payment - Online Store
907690,008-470513,2025/07/22,Withdrawal,"7,817.19",POS Payment - Online Store
912830,006-813847,26 Oct 2025,Withdrawal,"EGP 49,083.50",
902112,012-282937,2025-07-31,Deposit,20203.13,ATM Balance Transfer
900867,012-471214,08/18/2025,Deposit,"47,312.04",
916192,002-954754,09/08/2025,Withdrawal,"6,859.12",ATM Balance Transfer
914204,011-175492,15 Jan 2025,Deposit,1428559.33,ATM Deposit - Cash
913957,004-176987,2025-08-06,Deposit,20786 EGP,POS Purchase - Supermarket
915890,012-499711,25 Jun 2025,Withdrawal,28848.25,ATM Cash Withdrawal
900826,012-165586,2025/09/29,Withdrawal,"5,831.50",POS Purchase - Retail Store
915727,008-548654,09/17/2025,Deposit,32532 EGP,Transfer to Savings
914404,005-313637,09/09/2025,Deposit,"EGP 41,272.91",Incoming Transfer
916542,011-702903,11/13/2025,Deposit,"20,937.58",Transfer to Account
906260,001-585753,10-03-2025,Withdrawal,"646,034.24",ATM Withdrawal - Branch Terminal
912092,012-113282,26/06/2025,Withdrawal,12348.89,ATM Deposit - Cash
915628,015-326955,05-03-2025,Withdrawal,36448 EGP,Loan Installment Payment
900920,002-935758,02 Sep 2025,Withdrawal,"44,497.00",Transfer to Savings
914328,002-400329,09/28/2025,Withdrawal,44299.94,POS Purchase - Retail Store
908738,015-553602,10 Nov 2025,Withdrawal,"EGP 22,480.52",POS Payment - Online Store
901397,003-533101,2025-07-08,Withdrawal,"EGP 50,370.41",ATM Withdrawal - Branch Terminal
905790,009-340390,21 Jul 2025,Withdrawal,1323540.24,ATM Cash Withdrawal
913868,001-418300,2025-07-20,Withdrawal,49830.27,ATM Withdrawal - Branch Terminal
910323,011-372992,31 Jul 2025,Deposit,43818.24,Cheque Deposit
903314,001-828438,10 Aug 2025,Deposit,20175.1,Transfer to Savings
912728,010-778701,2025/11/04,Deposit,10840 EGP,ATM Cash Withdrawal
909511,001-170927,20 Apr 2025,Withdrawal,1524.98,POS Purchase - Supermarket
901867,002-770120,02 Sep 2025,Deposit,31791.81,Cash Deposit - Branch Counter
909640,003-102059,14-04-2025,Withdrawal,4222.03,POS Payment - Online Store
900770,009-669904,17/09/2025,Deposit,45681.66,
903514,006-867072,02-12-2025,Withdrawal,18566 EGP,
906123,015-169345,06/10/2025,Withdrawal,54197,Transfer - Salary Credit
915389,009-254569,14/11/2025,Withdrawal,"13,876.68",Transfer - Salary Credit
917867,013-941676,2025/09/06,Withdrawal,40111.38,ATM Balance Transfer
903172,001-470611,08-05-2025,Deposit,35947 EGP,Incoming Transfer
901365,011-200919,07 Jun 2025,Withdrawal,54179 EGP,Service Fee
914953,004-129577,05/19/2025,Deposit,46191 EGP,Transfer to Account
910054,017-166646,18 Aug 2025,Withdrawal,13420.87,
900917,003-946268,05/07/2025,Deposit,"40,859.60",Transfer to Savings
908498,006-532127,2025-12-12,Withdrawal,45665.39,Transfer to Account
909918,015-159685,2025/08/10,Deposit,12568.29,POS Purchase - Retail Store
907508,011-172952,2025/07/03,Withdrawal,"32,689.11",ATM Balance Transfer
911716,004-855764,2025/01/27,Withdrawal,34459 EGP,Incoming Transfer
904272,006-577463,16/06/2025,Withdrawal,22634.68,Incoming Transfer
900576,012-824859,05/25/2025,Withdrawal,9157 EGP,Transfer to Savings
903365,007-995742,2025-10-02,Deposit,"1,797.35",ATM Withdrawal - Branch Terminal
909180,001-183240,10/09/2025,Deposit,2793.23,Transfer to Account
913571,013-946854,02/06/2025,Withdrawal,37324 EGP,Transfer to Account
911093,008-407244,18-02-2025,Deposit,"44,411.36",Transfer to Savings
903736,013-582759,2025-10-22,Withdrawal,"43,805.52",Account Maintenance Fee
905194,003-440252,07-10-2025,Deposit,16562.53,Transfer - Salary Credit
903071,007-263249,2025/05/13,Withdrawal,46086.13,ATM Cash Withdrawal
909898,013-366904,2025-09-09,Withdrawal,"43,085.85",Incoming Transfer
912062,008-647518,23/08/2025,Deposit,52530.04,Transfer - Salary Credit
915520,013-635820,03/31/2025,Withdrawal,"EGP 14,156.07",Transfer to Savings
901890,008-146515,2025-09-29,Deposit,"55,660.14",Transfer to Account
902709,017-889540,07/29/2025,Withdrawal,27665.14,POS Purchase - Retail Store
904174,009-933381,07/06/2025,Withdrawal,"EGP 1,874.96",Incoming Transfer
910604,005-700927,07 Oct 2025,Withdrawal,"16,713.66",ATM Withdrawal - Branch Terminal
909357,015-611997,04/07/2025,Deposit,28966 EGP,Account Maintenance Fee
916144,009-268868,07/21/2025,Deposit,55276 EGP,ATM Withdrawal - Branch Terminal
914619,010-878376,2025/09/06,Deposit,7478 EGP,ATM Deposit - Cash
904444,009-263214,12-11-2025,Deposit,"EGP 25,842.92",ATM Balance Transfer
915848,005-370294,10/09/2025,Deposit,44370.56,ATM Deposit - Cash
900323,004-792649,07/06/2025,Withdrawal,16328 EGP,POS Purchase - Supermarket
915846,004-934654,27-07-2025,Withdrawal,"31,615.06",ATM Withdrawal - Branch Terminal
905786,005-736687,2025/06/23,Withdrawal,29410 EGP,Cash Deposit - Branch Counter
900398,007-652588,2025/11/13,Withdrawal,28871.31,ATM Withdrawal - Branch Terminal
914829,013-143685,06/08/2025,Deposit,"45,033.66",ATM Withdrawal - Branch Terminal
902033,010-861815,26-08-2025,Withdrawal,"EGP 15,545.21",POS Purchase - Supermarket
906128,002-926761,31/08/2025,Deposit,"EGP 21,338.91",Transfer to Account
909991,015-170262,06/23/2025,Deposit,59706.15,Transfer to Savings
903947,012-456912,2025-04-17,Withdrawal,15306.20,Transfer to Savings
902860,009-345679,2025-09-02,Withdrawal,48904 EGP,Incoming Transfer
910467,004-597083,25/06/2025,Withdrawal,"EGP 27,166.93",ATM Balance Transfer
914231,010-440221,24 Mar 2025,Withdrawal,"EGP 13,309.21",ATM Cash Withdrawal
910184,010-444369,27-04-2025,Withdrawal,1475712.43,
913187,011-624614,08/04/2025,Deposit,"2,232.01",ATM Balance Transfer
915168,013-475140,28/07/2025,Deposit,1048.89,
907553,015-494523,18 Sep 2025,Deposit,7011 EGP,POS Payment - Online Store
903982,006-428625,2025-10-01,Deposit,54868.48,ATM Deposit - Cash
907093,001-625681,2025/04/06,Withdrawal,"EGP 29,537.10",Transfer - Salary Credit
915943,009-784607,10/02/2025,Withdrawal,50988.32,ATM Cash Withdrawal
907834,003-615073,2025-07-13,Deposit,"EGP 16,435.80",Cheque Deposit
912049,001-492860,23/07/2025,Withdrawal,"EGP 1,152,048.10",ATM Cash Withdrawal
914628,003-316165,08/06/2025,Deposit,20485.67,ATM Withdrawal - Branch Terminal
909829,008-757198,2025-04-08,Withdrawal,18860.5,Transfer to Savings
909425,001-506729,11-12-2025,Withdrawal,"39,062.12",POS Payment - Online Store
906961,012-471214,09 Aug 2025,Deposit,"29,267.91",ATM Cash Withdrawal
915167,001-641067,2025/08/25,Deposit,"49,047.64",Incoming Transfer
911620,012-247696,10/01/2025,Withdrawal,54995.42,Cheque Deposit
900086,015-866926,16/07/2025,Deposit,"24,529.07",Incoming Transfer
912619,010-379987,06 Nov 2025,Withdrawal,"42,833.29",POS Payment - Online Store
902105,013-858961,11/10/2025,Deposit,"EGP 16,403.74",POS Purchase - Supermarket
904016,002-196482,08/29/2025,Deposit,"EGP 53,975.86",Account Maintenance Fee
910631,004-959593,10-08-2025,Deposit,"14,701.73",ATM Balance Transfer
912657,013-658208,23-10-2025,Deposit,"36,666.62",Transfer to Savings
900137,012-515688,2025-05-18,Deposit,7827.59,Service Fee
905600,015-170262,03/14/2025,Deposit,"9,866.48",POS Purchase - Supermarket
901196,003-357817,29/07/2025,Deposit,18933.04,Transfer to Savings
904713,006-121508,14/09/2025,Withdrawal,17398.73,ATM Balance Transfer
903555,011-476897,29/07/2025,Withdrawal,40036 EGP,Transfer to Savings
911995,013-935401,2025/10/01,Deposit,"EGP 12,994.20",ATM Deposit - Cash
911486,012-850325,19 Jul 2025,Withdrawal,38843.06,Account Maintenance Fee
915784,010-739140,02/04/2025,Withdrawal,"EGP 47,636.27",Incoming Transfer
905094,003-134986,25/11/2025,Withdrawal,"11,203.22",ATM Withdrawal - Branch Terminal
914690,010-224220,2025-07-08,Deposit,48584 EGP,POS Payment - Online Store
900678,012-286726,22/07/2025,Withdrawal,36077.76,POS Purchase - Supermarket
917482,007-104533,2025/11/27,Withdrawal,"28,040.98",Cheque Deposit
902166,015-630841,25 Mar 2025,Deposit,"51,217.52",ATM Deposit - Cash
903053,007-749083,22/07/2025,Deposit,"EGP 27,388.30",Loan Installment Payment
905736,008-225824,14/10/2025,Deposit,"17,216.88",Cheque Deposit
901133,014-810319,09-08-2025,Withdrawal,994.87,POS Payment - Online Store
902111,001-446904,02/05/2025,Deposit,32356 EGP,ATM Cash Withdrawal
901373,012-705640,16/10/2025,Deposit,"EGP 18,278.92",Account Maintenance Fee
916519,015-937305,11/19/2025,Withdrawal,50650 EGP,Transfer to Account
911207,010-583950,18 Dec 2025,Deposit,58018.01,Transfer to Savings
901574,013-767637,19/10/2025,Withdrawal,"59,341.67",
910309,014-134346,2025/08/28,Withdrawal,27472.00,ATM Cash Withdrawal
915585,003-820070,06/16/2025,Deposit,"EGP 28,026.47",ATM Withdrawal - Branch Terminal
915739,003-241832,24-03-2025,Withdrawal,48297.50,Transfer - Salary Credit
916210,003-173440,2025-09-30,Deposit,18043.53,Loan Installment Payment
907285,004-736605,09/08/2025,Deposit,"13,038.08",Incoming Transfer
908286,014-274522,05/15/2025,Deposit,36945.94,Service Fee
900719,015-994293,12/05/2025,Withdrawal,"3,525.50",ATM Cash Withdrawal
905073,003-956989,2025/09/19,Deposit,52305 EGP,POS Purchase - Supermarket
900049,009-539686,2025/08/11,Deposit,6426.08,POS Purchase - Supermarket
900056,012-125521,2025-09-10,Withdrawal,44587.42,Loan Installment Payment
916973,015-971437,2025-08-18,Withdrawal,"EGP 23,683.38",POS Purchase - Supermarket
904347,011-642986,04/06/2025,Deposit,21856.66,Incoming Transfer
912304,013-841268,08/26/2025,Deposit,447.13,Incoming Transfer
911890,001-139471,2025/10/16,Deposit,28639.86,Transfer to Account
911967,003-458120,2025-04-01,Deposit,6463 EGP,POS Payment - Online Store
917542,014-460685,04/11/2025,Deposit,29113.96,Transfer - Salary Credit
905919,009-547004,18-06-2025,Withdrawal,37144.37,Transfer to Account
913240,015-453479,2025-06-13,Withdrawal,"26,981.83",Cheque Deposit
913878,011-671730,28/10/2025,Deposit,57363.62,
911192,007-197430,04 May 2025,Deposit,"EGP 41,565.76",POS Payment - Online Store
906720,013-683213,15/06/2025,Withdrawal,53486.6,ATM Withdrawal - Branch Terminal
916552,009-906671,04-08-2025,Deposit,"52,507.70",Incoming Transfer
902832,013-701828,07/01/2025,Deposit,35555.67,Loan Installment Payment
901111,010-149907,2025/09/01,Deposit,"EGP 6,952.84",ATM Withdrawal - Branch Terminal
909315,003-295055,29-06-2025,Withdrawal,14424.41,Service Fee
912224,001-407396,22/07/2025,Withdrawal,20950 EGP,ATM Cash Withdrawal
910777,013-451851,13-03-2025,Deposit,22554.84,ATM Cash Withdrawal
913149,010-766577,27/03/2025,Withdrawal,"EGP 32,904.86",ATM Withdrawal - Branch Terminal
906811,014-524642,2025-08-17,Withdrawal,"EGP 29,976.89",Cheque Deposit
906512,007-843496,20 Sep 2025,Deposit,49310.40,Cash Deposit - Branch Counter
911015,013-767637,20/11/2025,Withdrawal,541321.42,ATM Deposit - Cash
911077,015-338318,29 Apr 2025,Withdrawal,35220.53,POS Purchase - Retail Store
906247,007-241135,2025-08-22,Deposit,"EGP 6,823.96",ATM Balance Transfer
908473,003-726148,29-09-2025,Deposit,49651 EGP,ATM Deposit - Cash
901595,014-879024,07/31/2025,Withdrawal,9610.19,Incoming Transfer
903487,015-696745,2025-10-20,Deposit,54422 EGP,Transfer to Account
912925,010-778701,11/05/2025,Withdrawal,17546 EGP,ATM Withdrawal - Branch Terminal
916507,004-148963,07/31/2025,Withdrawal,15228.93,Transfer to Account
902878,010-183910,15/06/2025,Deposit,"EGP 16,186.74",ATM Withdrawal - Branch Terminal
903600,003-383607,2025/07/23,Deposit,40987 EGP,Service Fee
903093,005-841461,11/30/2025,Withdrawal,11645.22,Transfer to Account
909134,013-718095,2025/09/30,Deposit,"18,345.48",Transfer to Savings
902564,010-639188,2025-07-16,Deposit,23449.47,POS Purchase - Retail Store
909061,010-162435,18 Jun 2025,Withdrawal,47744 EGP,ATM Cash Withdrawal
913354,006-237608,2025/10/09,Deposit,"12,344.05",
,,,,,
901354,009-276259,2025-10-27,Deposit,15108.79,Loan Installment Payment
901120,002-112825,2025/08/09,Deposit,13772.7,ATM Deposit - Cash
916243,012-333818,06/16/2025,Withdrawal,EGP 545.05,Cheque Deposit
914646,009-287447,03/09/2025,Deposit,55288.32,ATM Balance Transfer
910734,004-858379,12 Nov 2025,Deposit,"40,747.40",Transfer - Salary Credit
904488,015-666366,27-09-2025,Withdrawal,"54,298.65",Transfer to Account
903238,004-129640,21/10/2025,Deposit,55702 EGP,Incoming Transfer
916082,012-556342,11-09-2025,Withdrawal,"35,737.88",POS Payment - Online Store
909711,004-167406,2025/05/10,Deposit,"28,666.45",ATM Balance Transfer
917124,002-340056,07 Jun 2025,Deposit,"30,376.75",Transfer to Savings
917167,006-247223,09 Sep 2025,Withdrawal,57909.01,ATM Deposit - Cash
916719,014-568328,07-12-2025,Deposit,48856 EGP,Loan Installment Payment
901954,009-254569,23-09-2025,Deposit,45533.43,Account Maintenance Fee
902165,003-490554,2025-06-22,Withdrawal,23803 EGP,ATM Withdrawal - Branch Terminal
912732,011-699941,09/17/2025,Withdrawal,"52,514.08",POS Payment - Online Store
900435,009-970534,14-04-2025,Deposit,"34,300.56",Incoming Transfer
901050,010-325710,09-09-2025,Deposit,38463.47,
907721,012-949957,2025/07/28,Withdrawal,26415 EGP,ATM Cash Withdrawal
906270,006-285740,11 Sep 2025,Withdrawal,"57,203.36",Transfer - Salary Credit
916378,015-632490,2025/10/27,Withdrawal,53905.64,ATM Cash Withdrawal
904606,014-291853,12/05/2025,Deposit,35450 EGP,Service Fee
903563,009-747539,04/21/2025,Withdrawal,"36,003.80",Incoming Transfer
911507,001-185210,04 Oct 2025,Withdrawal,59008.10,ATM Withdrawal - Branch Terminal
905309,014-818948,02-11-2025,Deposit,"EGP 37,230.94",Transfer to Savings
,,,,,
906885,015-623049,2025-11-19,Withdrawal,37154 EGP,Transfer to Account
912711,005-345772,2025/08/13,Deposit,49437.99,Incoming Transfer
909845,008-433475,2025/12/14,Deposit,"EGP 11,275.35",Transfer to Account
900458,010-238093,2025/10/06,Deposit,48375.26,Transfer to Savings
908020,010-976874,2025-10-23,Withdrawal,15119.26,Transfer - Salary Credit
903414,005-345772,03/07/2025,Withdrawal,13331.46,ATM Cash Withdrawal
908349,012-111995,28 Dec 2025,Deposit,"EGP 51,456.31",ATM Cash Withdrawal
912862,015-386715,05/06/2025,Withdrawal,252.58,POS Payment - Online Store
907476,009-488696,06/12/2025,Withdrawal,26519 EGP,ATM Withdrawal - Branch Terminal
916828,013-686754,03-10-2025,Withdrawal,1291660.98,POS Purchase - Supermarket
915280,014-671232,2025/08/04,Withdrawal,"29,441.71",ATM Balance Transfer
909245,006-172222,27-07-2025,Withdrawal,44639 EGP,Loan Installment Payment
911173,009-189498,23 Jun 2025,Deposit,2189.66,ATM Balance Transfer
915101,015-176180,06 May 2025,Withdrawal,"34,073.77",Transfer to Savings
902385,009-247610,06-08-2025,Deposit,31378.66,Transfer to Account
907221,014-130156,04/22/2025,Deposit,"EGP 10,194.82",Account Maintenance Fee
907424,001-294355,29 Aug 2025,Deposit,"EGP 54,742.82",ATM Cash Withdrawal
912379,009-301617,12/12/2025,Withdrawal,"23,659.64",
915035,009-208523,15-06-2025,Withdrawal,"1,216,052.10",ATM Balance Transfer
901826,004-261106,2025/11/19,Deposit,4656.41,Transfer - Salary Credit
916391,002-455310,13/08/2025,Withdrawal,11257.15,ATM Withdrawal - Branch Terminal
913610,015-620977,21 Sep 2025,Deposit,"EGP 29,247.93",
913246,003-147229,2025/06/12,Withdrawal,55696 EGP,ATM Withdrawal - Branch Terminal
900320,010-333491,2025-09-30,Withdrawal,43931.39,Cheque Deposit
900024,009-749039,11/05/2025,Withdrawal,410.76,ATM Balance Transfer
911304,013-587792,2025/06/13,Deposit,47722 EGP,ATM Balance Transfer
908961,003-295055,05/14/2025,Withdrawal,639318.63,Account Maintenance Fee
911272,006-230503,2025/10/07,Deposit,18126 EGP,Transfer to Account
913936,003-767153,06-04-2025,Deposit,"23,248.67",ATM Deposit - Cash
915875,003-968096,2025-10-09,Deposit,17817.65,Account Maintenance Fee
901226,001-154646,2025-03-02,Deposit,"45,832.72",ATM Withdrawal - Branch Terminal
911976,011-800340,18/06/2025,Deposit,14571 EGP,POS Payment - Online Store
903821,015-136709,17-12-2025,Withdrawal,6307.37,ATM Balance Transfer
913943,010-145415,11/20/2025,Deposit,9596.72,Transfer - Salary Credit
906972,013-260929,07/07/2025,Withdrawal,48274.96,Transfer - Salary Credit
916739,010-379987,04/24/2025,Withdrawal,"34,305.94",Transfer to Account
908676,013-565897,03 Mar 2025,Deposit,51266 EGP,ATM Cash Withdrawal
911862,006-678070,2025/07/21,Deposit,"4,373.93",Transfer - Salary Credit
903465,006-678735,27-05-2025,Withdrawal,"49,200.57",ATM Cash Withdrawal
900072,005-909002,2025/10/22,Deposit,31490.56,ATM Balance Transfer
906224,010-918619,2025/07/03,Withdrawal,42610.58,Incoming Transfer
916170,012-148432,11 Nov 2025,Withdrawal,"19,829.03",Cheque Deposit
908718,003-175911,2025-10-12,Deposit,18724.08,
905100,004-597083,09-10-2025,Withdrawal,"56,031.75",Cheque Deposit
906865,015-354055,14-07-2025,Withdrawal,"35,686.75",ATM Balance Transfer
902393,008-138967,2025/02/16,Withdrawal,43171 EGP,ATM Balance Transfer
913165,007-862403,2025-10-26,Withdrawal,34220.39,
910902,012-958863,09/05/2025,Withdrawal,"EGP 11,018.10",ATM Cash Withdrawal
903351,004-955397,05/19/2025,Withdrawal,39800.08,POS Payment - Online Store
906424,002-462360,23/07/2025,Deposit,1943956.89,Incoming Transfer
911686,005-170708,2025-09-30,Deposit,"18,790.54",ATM Balance Transfer
911727,007-594617,14/05/2025,Withdrawal,25995.56,Cheque Deposit
916341,015-959743,23 Aug 2025,Deposit,48481 EGP,Incoming Transfer
910630,017-731511,05 Apr 2025,Deposit,"28,462.58",ATM Balance Transfer
902160,012-883875,2025-10-07,Withdrawal,57666 EGP,ATM Balance Transfer
911114,016-541769,02/27/2025,Deposit,40095.62,ATM Withdrawal - Branch Terminal
911535,002-571500,01/11/2025,Deposit,1131183 EGP,ATM Deposit - Cash
900751,013-311171,22-07-2025,Deposit,19334 EGP,ATM Withdrawal - Branch Terminal
914685,010-861815,2025/10/02,Withdrawal,"10,544.73",POS Payment - Online Store
900942,012-556342,2025-09-02,Deposit,"12,220.40",Incoming Transfer
911640,014-355158,13/05/2025,Deposit,42769.78,Incoming Transfer
904150,001-122855,20 May 2025,Deposit,58626.53,ATM Withdrawal - Branch Terminal
,,,,,
912378,011-487953,18/10/2025,Deposit,"EGP 41,860.82",ATM Cash Withdrawal
914453,013-612602,08 Jul 2025,Deposit,56007 EGP,Incoming Transfer
904417,004-129640,18-08-2025,Deposit,"EGP 34,768.62",ATM Deposit - Cash
903724,013-803451,30/03/2025,Deposit,39691 EGP,POS Purchase - Retail Store
915840,005-392137,27/10/2025,Deposit,37102.99,ATM Deposit - Cash
907866,005-924206,26/03/2025,Deposit,19815.94,
911582,004-586546,2025/07/27,Deposit,7516 EGP,POS Purchase - Supermarket
911685,011-673585,2025/09/22,Withdrawal,"50,582.72",POS Payment - Online Store
911635,001-815533,2025/09/29,Withdrawal,"EGP 11,456.32",Transfer to Savings
915637,001-761297,13 Oct 2025,Withdrawal,51445.85,Transfer to Savings
901909,003-190410,04-03-2025,Deposit,27444.95,Transfer to Savings
917462,006-690044,2025/09/14,Deposit,37739 EGP,Service Fee
900789,011-322582,22/10/2025,Deposit,10240.45,
915997,017-262989,16 Sep 2025,Withdrawal,13077 EGP,Transfer to Account
909321,014-322486,25/04/2025,Withdrawal,"21,355.63",Incoming Transfer
913459,008-660782,19/10/2025,Withdrawal,"31,902.69",Transfer - Salary Credit
900756,015-685827,2025/08/11,Withdrawal,"EGP 47,828.81",Cheque Deposit
907106,005-690349,2025-07-27,Deposit,"EGP 19,972.72",Service Fee
912077,001-584458,11/06/2025,Withdrawal,"EGP 30,951.35",
917024,014-731713,2025/10/05,Deposit,"34,143.28",ATM Withdrawal - Branch Terminal
917330,012-828342,02 Dec 2025,Withdrawal,53199.22,Cash Deposit - Branch Counter
